donor_id,donation_count,total_donations,average_donation,days_since_last_donation,donations_last_30_days,donations_last_90_days,donations_last_365_days,campaign_count
DNR-01367,6,628.98,104.83,300.0,0,0,2,6
DNR-01368,6,2091.25,348.54,259.0,0,0,2,6
DNR-01369,4,1489.94,372.48,170.0,0,0,1,4
DNR-01370,4,42656.11,10664.03,182.0,0,0,1,4
DNR-01371,5,1097.52,219.5,735.0,0,0,0,5
DNR-01372,6,762.68,127.11,297.0,0,0,1,6
DNR-01373,7,1821.48,260.21,180.0,0,0,1,7
DNR-01374,3,404.88,134.96,244.0,0,0,1,3
DNR-01375,5,145.93,29.19,40.0,0,1,3,5
DNR-01376,4,120.51,30.13,208.0,0,0,2,4
DNR-01377,8,907.69,113.46,29.0,1,1,3,7
DNR-01378,5,934.62,186.92,61.0,0,1,1,5
DNR-01379,3,591.97,197.32,792.0,0,0,0,3
DNR-01380,3,132.77,44.26,49.0,0,1,3,3
DNR-01381,10,47465.51,4746.55,7.0,1,6,10,9
DNR-01382,6,3286.34,547.72,9.0,1,1,4,6
DNR-01383,7,2737.43,391.06,324.0,0,0,2,7
DNR-01384,5,24870.81,4974.16,141.0,0,0,1,5
DNR-01385,2,54.2,27.1,14.0,1,2,2,2
DNR-01386,6,4362.93,727.16,255.0,0,0,1,5
DNR-01387,4,2573.43,643.36,322.0,0,0,1,4
DNR-01388,2,211.85,105.93,195.0,0,0,1,2
DNR-01389,6,1333.69,222.28,392.0,0,0,0,6
DNR-01390,5,550.81,110.16,48.0,0,3,5,4
DNR-01391,4,651.8,162.95,21.0,1,1,1,3
DNR-01392,8,649.73,81.22,0.0,1,2,5,8
DNR-01393,5,2539.76,507.95,27.0,1,1,3,5
DNR-01394,3,287.25,95.75,104.0,0,0,1,3
DNR-01395,5,787.14,157.43,101.0,0,0,5,5
DNR-01396,2,119.83,59.92,294.0,0,0,1,2
DNR-01397,8,3201.8,400.22,158.0,0,0,3,8
DNR-01398,4,216.37,54.09,128.0,0,0,2,4
DNR-01399,2,52.85,26.42,91.0,0,0,1,2
DNR-01400,6,2634.5,439.08,215.0,0,0,1,6
DNR-01401,4,117633.51,29408.38,62.0,0,1,1,4
DNR-01402,3,233.2,77.73,9.0,1,1,3,3
DNR-01403,3,581.71,193.9,344.0,0,0,1,3
DNR-01404,9,1224.2,136.02,2.0,4,9,9,9
DNR-01405,2,17644.02,8822.01,142.0,0,0,1,2
DNR-01406,6,1300.32,216.72,1139.0,0,0,0,6
DNR-01407,6,1788.27,298.04,143.0,0,0,3,6
DNR-01408,3,172.22,57.41,1.0,1,1,2,3
DNR-01409,1,12.31,12.31,94.0,0,0,1,1
DNR-01410,4,606.45,151.61,72.0,0,2,3,3
DNR-01411,4,1129.0,282.25,39.0,0,1,4,4
DNR-01412,5,231.78,46.36,84.0,0,1,2,5
DNR-01413,6,2054.65,342.44,107.0,0,0,1,6
DNR-01414,5,554.14,110.83,225.0,0,0,2,5
DNR-01415,6,14335.15,2389.19,38.0,0,1,1,6
DNR-01416,10,947.95,94.8,27.0,1,2,4,9
DNR-01417,9,46248.97,5138.77,105.0,0,0,2,8
DNR-01418,2,109.83,54.92,124.0,0,0,2,2
DNR-01419,7,36767.01,5252.43,64.0,0,2,3,7
DNR-01420,7,658.69,94.1,73.0,0,1,3,7
DNR-01421,4,409.4,102.35,432.0,0,0,0,4
DNR-01422,12,1247.26,103.94,5.0,2,5,7,11
DNR-01423,5,1487.32,297.46,119.0,0,0,2,5
DNR-01424,3,92235.74,30745.25,24.0,1,2,3,3
DNR-01425,5,2914.57,582.91,419.0,0,0,0,5
DNR-01426,2,2444.17,1222.08,1062.0,0,0,0,2
DNR-01427,12,58382.72,4865.23,52.0,0,2,8,12
DNR-01428,5,296.62,59.32,597.0,0,0,0,5
DNR-01429,4,2026.74,506.68,274.0,0,0,3,4
DNR-01430,6,4120.21,686.7,109.0,0,0,4,6
DNR-01431,4,1445.58,361.4,38.0,0,4,4,4
DNR-01432,3,1606.62,535.54,428.0,0,0,0,3
DNR-01433,5,62027.67,12405.53,199.0,0,0,4,5
DNR-01434,3,401.38,133.79,818.0,0,0,0,3
DNR-01435,7,477.65,68.24,151.0,0,0,1,7
DNR-01436,5,2748.73,549.75,114.0,0,0,1,5
DNR-01437,5,2272.12,454.42,204.0,0,0,1,5
DNR-01438,7,3554.02,507.72,55.0,0,1,7,7
DNR-01439,8,4755.62,594.45,55.0,0,1,4,8
DNR-01440,12,1528.79,127.4,50.0,0,2,8,11
DNR-01441,3,58.86,19.62,186.0,0,0,2,3
DNR-01442,2,110.96,55.48,501.0,0,0,0,2
DNR-01443,4,597.57,149.39,72.0,0,4,4,4
DNR-01444,5,40511.75,8102.35,97.0,0,0,2,5
DNR-01445,6,925.81,154.3,692.0,0,0,0,6
DNR-01446,2,34695.57,17347.78,268.0,0,0,1,2
DNR-01447,5,1042.04,208.41,60.0,0,1,1,5
DNR-01448,3,162.32,54.11,3.0,3,3,3,3
DNR-01449,5,248.81,49.76,147.0,0,0,1,5
DNR-01450,4,1501.48,375.37,37.0,0,2,4,4
DNR-01451,8,84432.07,10554.01,23.0,1,3,4,8
DNR-01452,1,81.5,81.5,582.0,0,0,0,1
DNR-01453,7,497.28,71.04,101.0,0,0,3,7
DNR-01454,3,165.58,55.19,292.0,0,0,2,3
DNR-01455,6,615.8,102.63,16.0,1,1,1,5
DNR-01456,6,2357.51,392.92,102.0,0,0,2,5
DNR-01457,1,346.01,346.01,150.0,0,0,1,1
DNR-01458,5,439.63,87.93,349.0,0,0,1,5
DNR-01459,7,1137.36,162.48,99.0,0,0,1,7
DNR-01460,4,569.37,142.34,47.0,0,1,4,4
DNR-01461,6,1155.2,192.53,48.0,0,1,6,5
DNR-01462,5,1047.44,209.49,30.0,1,1,4,5
DNR-01463,7,32624.75,4660.68,48.0,0,2,2,7
DNR-01464,7,2098.0,299.71,2.0,1,2,7,7
DNR-01465,6,777.8,129.63,86.0,0,1,6,6
DNR-01466,7,888.26,126.89,22.0,1,1,4,7
DNR-01467,2,49.29,24.65,992.0,0,0,0,2
DNR-01468,5,1212.76,242.55,30.0,1,1,1,5
DNR-01469,9,1865.36,207.26,196.0,0,0,2,9
DNR-01470,4,26772.29,6693.07,64.0,0,1,2,4
DNR-01471,8,6869.27,858.66,227.0,0,0,2,8
DNR-01472,5,946.1,189.22,50.0,0,1,2,5
DNR-01473,6,768.73,128.12,157.0,0,0,1,6
DNR-01474,3,340.12,113.37,5.0,1,1,2,3
DNR-01475,2,8737.35,4368.68,446.0,0,0,0,2
DNR-01476,5,871.39,174.28,57.0,0,1,5,5
DNR-01477,11,1414.38,128.58,125.0,0,0,6,10
DNR-01478,6,821.55,136.92,509.0,0,0,0,6
DNR-01479,4,331.69,82.92,879.0,0,0,0,4
DNR-01480,7,1231.09,175.87,35.0,0,1,4,7
DNR-01481,5,563.35,112.67,34.0,0,3,5,5
DNR-01482,8,2013.49,251.69,11.0,2,3,4,8
DNR-01483,6,436.32,72.72,3.0,1,2,6,6
DNR-01484,3,2061.28,687.09,276.0,0,0,1,3
DNR-01485,3,1899.23,633.08,161.0,0,0,3,3
DNR-01486,7,2252.48,321.78,53.0,0,4,7,7
DNR-01487,5,616.07,123.21,10.0,1,3,5,5
DNR-01488,5,665.85,133.17,110.0,0,0,1,5
DNR-01489,6,681.75,113.62,3.0,3,6,6,4
DNR-01490,5,1027.51,205.5,154.0,0,0,1,5
DNR-01491,2,83.24,41.62,626.0,0,0,0,2
DNR-01492,3,399.05,133.02,420.0,0,0,0,3
DNR-01493,5,292.99,58.6,364.0,0,0,1,5
DNR-01494,10,3801.76,380.18,62.0,0,2,5,10
DNR-01495,4,380.83,95.21,209.0,0,0,2,4
DNR-01496,9,2437.48,270.83,4.0,1,2,7,8
DNR-01497,10,1952.39,195.24,86.0,0,1,1,9
DNR-01498,3,132.37,44.12,16.0,1,1,2,3
DNR-01499,6,632.81,105.47,76.0,0,1,6,6
DNR-01500,4,1053.81,263.45,9.0,1,1,3,4
DNR-01501,4,1311.77,327.94,113.0,0,0,1,4
DNR-01502,2,122.26,61.13,189.0,0,0,2,2
DNR-01503,4,776.4,194.1,190.0,0,0,4,4
DNR-01504,3,1535.88,511.96,236.0,0,0,2,2
DNR-01505,4,439.67,109.92,344.0,0,0,1,4
DNR-01506,2,1558.87,779.44,308.0,0,0,1,2
DNR-01507,2,106.51,53.26,118.0,0,0,1,2
DNR-01508,4,2465.95,616.49,3.0,4,4,4,4
DNR-01509,4,575.34,143.84,12.0,1,1,4,3
DNR-01510,4,1657.3,414.32,214.0,0,0,4,4
DNR-01511,1,36.16,36.16,738.0,0,0,0,1
DNR-01512,3,23407.92,7802.64,217.0,0,0,1,3
DNR-01513,1,37988.26,37988.26,22.0,1,1,1,1
DNR-01514,3,214.06,71.35,22.0,1,1,1,3
DNR-01515,5,1086.36,217.27,22.0,1,5,5,5
DNR-01516,2,49.37,24.68,331.0,0,0,1,2
DNR-01517,7,652.73,93.25,0.0,7,7,7,7
DNR-01518,4,109.64,27.41,222.0,0,0,2,4
DNR-01519,5,290.88,58.18,21.0,1,2,5,5
DNR-01520,5,406.99,81.4,241.0,0,0,2,5
DNR-01521,5,541.52,108.3,33.0,0,1,3,4
DNR-01522,4,692.19,173.05,1.0,4,4,4,4
DNR-01523,3,16420.51,5473.5,56.0,0,2,3,3
DNR-01524,3,62703.29,20901.1,265.0,0,0,1,3
DNR-01525,3,196.24,65.41,257.0,0,0,1,3
DNR-01526,7,2843.64,406.23,149.0,0,0,1,6
DNR-01527,4,394.9,98.72,12.0,3,4,4,4
DNR-01528,5,477.62,95.52,924.0,0,0,0,5
DNR-01529,8,2703.37,337.92,2.0,1,2,3,7
DNR-01530,5,2452.29,490.46,65.0,0,2,3,5
DNR-01531,9,904.1,100.46,7.0,1,1,3,8
DNR-01532,5,904.42,180.88,556.0,0,0,0,5
DNR-01533,7,1513.0,216.14,67.0,0,2,3,7
DNR-01534,7,767.7,109.67,22.0,1,2,3,7
DNR-01535,5,2736.54,547.31,31.0,0,2,5,5
DNR-01536,4,1903.5,475.88,168.0,0,0,2,4
DNR-01537,3,578.73,192.91,255.0,0,0,1,3
DNR-01538,7,642.97,91.85,37.0,0,1,3,7
DNR-01539,2,42.3,21.15,118.0,0,0,2,2
DNR-01540,6,929.38,154.9,20.0,1,1,5,6
DNR-01541,2,96.38,48.19,160.0,0,0,1,2
DNR-01542,3,267.96,89.32,13.0,1,2,3,3
DNR-01543,4,1003.87,250.97,30.0,1,1,2,4
DNR-01544,2,395.58,197.79,196.0,0,0,1,2
DNR-01545,3,567.43,189.14,109.0,0,0,3,3
DNR-01546,4,26275.9,6568.98,433.0,0,0,0,3
DNR-01547,5,2902.81,580.56,367.0,0,0,0,4
DNR-01548,6,43495.64,7249.27,15.0,2,4,6,6
DNR-01549,3,246.81,82.27,7.0,1,1,1,3
DNR-01550,4,623.9,155.98,422.0,0,0,0,4
DNR-01551,8,2556.84,319.6,173.0,0,0,5,8
DNR-01552,3,115.36,38.45,20.0,1,1,3,3
DNR-01553,3,179.81,59.94,72.0,0,1,1,3
DNR-01554,2,156.22,78.11,145.0,0,0,1,2
DNR-01555,4,325.66,81.41,198.0,0,0,2,4
DNR-01556,4,522.23,130.56,505.0,0,0,0,4
DNR-01557,3,75850.36,25283.45,81.0,0,1,3,3
DNR-01558,5,767.57,153.51,52.0,0,1,4,5
DNR-01559,6,344.23,57.37,198.0,0,0,1,5
DNR-01560,8,937.75,117.22,112.0,0,0,2,8
DNR-01561,5,476.09,95.22,443.0,0,0,0,5
DNR-01562,5,256.9,51.38,79.0,0,1,1,5
DNR-01563,3,393.92,131.31,83.0,0,1,3,3
DNR-01564,7,1803.78,257.68,6.0,1,3,5,6
DNR-01565,5,34727.54,6945.51,20.0,2,2,4,5
DNR-01566,2,228.85,114.42,59.0,0,1,2,2
DNR-01567,7,1676.83,239.55,345.0,0,0,1,7
DNR-01568,5,415.93,83.19,52.0,0,1,2,5
DNR-01569,1,7420.67,7420.67,122.0,0,0,1,1
DNR-01570,6,190906.62,31817.77,57.0,0,1,6,5
DNR-01571,9,402.5,44.72,109.0,0,0,6,9
DNR-01572,5,557.41,111.48,8.0,1,5,5,5
DNR-01573,4,59598.55,14899.64,71.0,0,1,1,4
DNR-01574,7,228760.48,32680.07,25.0,2,5,7,7
DNR-01575,2,468.47,234.24,4.0,2,2,2,2
DNR-01576,5,835.3,167.06,229.0,0,0,3,5
DNR-01577,6,2004.23,334.04,222.0,0,0,2,6
DNR-01578,2,441.27,220.64,241.0,0,0,1,2
DNR-01579,6,506.35,84.39,7.0,4,6,6,6
DNR-01580,4,476.01,119.0,278.0,0,0,1,4
DNR-01581,6,477.07,79.51,49.0,0,1,2,6
DNR-01582,9,1291.18,143.46,164.0,0,0,3,8
DNR-01583,10,1302.32,130.23,15.0,3,10,10,9
DNR-01584,3,270.28,90.09,51.0,0,1,3,3
DNR-01585,3,182.55,60.85,327.0,0,0,2,3
DNR-01586,1,35.34,35.34,560.0,0,0,0,1
DNR-01587,6,1439.01,239.84,1.0,3,6,6,6
DNR-01588,3,21223.51,7074.5,87.0,0,1,2,3
DNR-01589,4,291.46,72.87,590.0,0,0,0,4
DNR-01590,8,1455.4,181.92,1.0,1,3,5,8
DNR-01591,4,175.7,43.92,78.0,0,1,4,4
DNR-01592,6,2213.83,368.97,5.0,1,1,2,6
DNR-01593,0,0.0,0.0,,0,0,0,0
DNR-01594,4,256.67,64.17,2.0,2,2,4,4
DNR-01595,4,2635.06,658.76,663.0,0,0,0,4
DNR-01596,4,163.75,40.94,55.0,0,1,4,4
DNR-01597,0,0.0,0.0,,0,0,0,0
DNR-01598,3,427.61,142.54,394.0,0,0,0,3
DNR-01599,5,656.46,131.29,20.0,1,2,5,5
DNR-01600,6,914.91,152.48,540.0,0,0,0,6
DNR-01601,8,1197.93,149.74,6.0,1,1,3,8
DNR-01602,2,113.28,56.64,304.0,0,0,1,2
DNR-01603,6,1100.86,183.48,82.0,0,1,4,6
DNR-01604,3,105.07,35.02,479.0,0,0,0,3
DNR-01605,3,381.27,127.09,705.0,0,0,0,3
DNR-01606,3,354.81,118.27,55.0,0,1,3,3
DNR-01607,3,2358.8,786.27,338.0,0,0,1,3
DNR-01608,9,1316.85,146.32,1.0,2,8,9,9
DNR-01609,8,3176.95,397.12,306.0,0,0,4,8
DNR-01610,6,160403.09,26733.85,58.0,0,1,6,6
DNR-01611,5,1361.38,272.28,114.0,0,0,3,5
DNR-01612,5,933.89,186.78,244.0,0,0,1,5
DNR-01613,7,915.34,130.76,86.0,0,1,3,7
DNR-01614,5,703.53,140.71,28.0,1,1,2,5
DNR-01615,6,32087.13,5347.86,65.0,0,1,6,6
DNR-01616,9,940.62,104.51,38.0,0,1,9,9
DNR-01617,7,822.09,117.44,3.0,5,7,7,7
DNR-01618,3,396.02,132.01,24.0,1,1,1,3
DNR-01619,5,422.1,84.42,367.0,0,0,0,5
DNR-01620,7,3518.6,502.66,1.0,3,7,7,6
DNR-01621,3,151.09,50.36,350.0,0,0,1,3
DNR-01622,1,194.56,194.56,44.0,0,1,1,1
DNR-01623,5,279.57,55.91,84.0,0,1,5,5
DNR-01624,5,2646.14,529.23,136.0,0,0,1,4
DNR-01625,3,255.01,85.0,900.0,0,0,0,3
DNR-01626,5,868.38,173.68,132.0,0,0,2,5
DNR-01627,5,3197.01,639.4,44.0,0,1,2,5
DNR-01628,8,698.81,87.35,54.0,0,1,3,7
DNR-01629,10,1232.7,123.27,63.0,0,1,7,10
DNR-01630,9,4117.21,457.47,16.0,2,3,7,7
DNR-01631,10,4060.18,406.02,1.0,4,10,10,10
DNR-01632,7,1089.44,155.63,4.0,1,1,2,7
DNR-01633,9,2564.31,284.92,11.0,1,1,9,9
DNR-01634,5,730.55,146.11,146.0,0,0,3,5
DNR-01635,6,2947.47,491.25,28.0,1,1,6,6
DNR-01636,6,829.15,138.19,419.0,0,0,0,6
DNR-01637,8,2666.18,333.27,41.0,0,1,1,8
DNR-01638,2,45.95,22.98,80.0,0,1,2,2
DNR-01639,3,622.97,207.66,26.0,1,1,1,3
DNR-01640,4,369.08,92.27,514.0,0,0,0,4
DNR-01641,4,909.61,227.4,101.0,0,0,3,4
DNR-01642,4,568.63,142.16,132.0,0,0,1,4
DNR-01643,13,4491.38,345.49,13.0,1,4,13,12
DNR-01644,5,972.33,194.47,486.0,0,0,0,5
DNR-01645,7,2773.09,396.16,78.0,0,1,6,7
DNR-01646,9,1465.99,162.89,112.0,0,0,2,8
DNR-01647,9,1292.6,143.62,478.0,0,0,0,9
DNR-01648,5,2236.87,447.37,106.0,0,0,2,5
DNR-01649,6,319.03,53.17,69.0,0,1,6,6
DNR-01650,6,2267.86,377.98,94.0,0,0,3,5
DNR-01651,5,141760.56,28352.11,162.0,0,0,2,5
DNR-01652,4,19151.84,4787.96,210.0,0,0,2,4
DNR-01653,6,1212.48,202.08,29.0,1,2,6,6
DNR-01654,4,1638.78,409.7,74.0,0,1,1,4
DNR-01655,3,145.5,48.5,86.0,0,1,2,3
DNR-01656,5,266.25,53.25,96.0,0,0,3,5
DNR-01657,6,3298.69,549.78,32.0,0,1,1,6
DNR-01658,6,3741.14,623.52,220.0,0,0,2,6
DNR-01659,5,685.71,137.14,44.0,0,1,2,5
DNR-01660,6,3925.59,654.26,270.0,0,0,2,5
DNR-01661,5,759.37,151.87,477.0,0,0,0,5
DNR-01662,3,3256.09,1085.36,215.0,0,0,1,3
DNR-01663,5,263.55,52.71,26.0,1,1,5,5
DNR-01664,5,601.54,120.31,155.0,0,0,1,5
DNR-01665,1,441.32,441.32,1183.0,0,0,0,1
DNR-01666,6,34392.66,5732.11,35.0,0,2,3,6
DNR-01667,3,714.18,238.06,25.0,1,2,3,3
DNR-01668,6,29852.12,4975.35,263.0,0,0,2,6
DNR-01669,6,1534.88,255.81,41.0,0,1,3,5
DNR-01670,4,143.76,35.94,79.0,0,2,4,4
DNR-01671,6,2750.9,458.48,21.0,1,3,6,5
DNR-01672,6,2923.95,487.32,130.0,0,0,1,6
DNR-01673,4,431.82,107.96,66.0,0,1,3,4
DNR-01674,7,736.74,105.25,52.0,0,3,6,7
DNR-01675,3,1979.13,659.71,7.0,1,1,3,3
DNR-01676,8,1982.37,247.8,57.0,0,1,1,8
DNR-01677,3,467.34,155.78,65.0,0,2,3,3
DNR-01678,5,694.2,138.84,103.0,0,0,5,5
DNR-01679,9,3523.32,391.48,10.0,1,3,6,9
DNR-01680,6,667.17,111.2,263.0,0,0,2,6
DNR-01681,9,1943.56,215.95,74.0,0,1,8,8
DNR-01682,2,256.84,128.42,156.0,0,0,2,2
DNR-01683,2,3307.28,1653.64,1333.0,0,0,0,2
DNR-01684,2,312.58,156.29,128.0,0,0,1,2
DNR-01685,4,1137.97,284.49,6.0,1,1,4,4
DNR-01686,3,52207.2,17402.4,72.0,0,1,3,3
DNR-01687,5,1952.4,390.48,444.0,0,0,0,5
DNR-01688,6,187426.69,31237.78,462.0,0,0,0,6
DNR-01689,5,43903.36,8780.67,346.0,0,0,1,5
DNR-01690,9,610.05,67.78,1.0,1,2,3,8
DNR-01691,7,3218.97,459.85,104.0,0,0,3,7
DNR-01692,9,3388.84,376.54,3.0,2,2,7,8
DNR-01693,4,516.59,129.15,293.0,0,0,1,3
DNR-01694,5,675.49,135.1,258.0,0,0,3,5
DNR-01695,2,522.36,261.18,130.0,0,0,2,2
DNR-01696,4,133.61,33.4,195.0,0,0,2,4
DNR-01697,1,1831.48,1831.48,1440.0,0,0,0,1
DNR-01698,9,1321.03,146.78,373.0,0,0,0,9
DNR-01699,6,561.95,93.66,63.0,0,1,1,6
DNR-01700,8,42636.92,5329.62,216.0,0,0,6,8
DNR-01701,4,259.74,64.94,305.0,0,0,1,4
DNR-01702,5,1458.37,291.67,2.0,3,5,5,5
DNR-01703,6,777.54,129.59,329.0,0,0,1,6
DNR-01704,11,4691.98,426.54,143.0,0,0,3,11
DNR-01705,5,190.64,38.13,448.0,0,0,0,5
DNR-01706,6,455.58,75.93,94.0,0,0,4,6
DNR-01707,2,80.66,40.33,715.0,0,0,0,2
DNR-01708,5,1217.35,243.47,27.0,1,1,2,4
DNR-01709,9,1472.57,163.62,342.0,0,0,3,9
DNR-01710,5,199.82,39.96,239.0,0,0,3,5
DNR-01711,8,2157.3,269.66,287.0,0,0,1,7
DNR-01712,0,0.0,0.0,,0,0,0,0
DNR-01713,3,134.83,44.94,279.0,0,0,2,3
DNR-01714,6,930.44,155.07,12.0,1,2,6,6
DNR-01715,7,1830.46,261.49,320.0,0,0,1,7
DNR-01716,8,32973.75,4121.72,319.0,0,0,2,8
DNR-01717,5,1089.32,217.86,380.0,0,0,0,5
DNR-01718,4,921.62,230.4,123.0,0,0,1,3
DNR-01719,8,4063.38,507.92,55.0,0,4,8,8
DNR-01720,2,47.84,23.92,79.0,0,1,2,2
DNR-01721,9,3061.03,340.11,50.0,0,1,4,9
DNR-01722,6,753.69,125.62,333.0,0,0,1,6
DNR-01723,6,1376.62,229.44,12.0,1,2,5,6
DNR-01724,5,130206.76,26041.35,37.0,0,1,1,5
DNR-01725,5,1521.38,304.28,6.0,5,5,5,5
DNR-01726,3,187.48,62.49,200.0,0,0,3,3
DNR-01727,8,2144.93,268.12,99.0,0,0,2,7
DNR-01728,8,1044.29,130.54,79.0,0,1,2,8
DNR-01729,6,1096.2,182.7,49.0,0,2,3,6
DNR-01730,4,694.11,173.53,274.0,0,0,1,4
DNR-01731,5,75075.9,15015.18,242.0,0,0,3,5
DNR-01732,5,568.83,113.77,253.0,0,0,2,5
DNR-01733,6,516.89,86.15,35.0,0,1,1,6
DNR-01734,12,4033.63,336.14,344.0,0,0,1,10
DNR-01735,1,71.71,71.71,1120.0,0,0,0,1
DNR-01736,6,81058.63,13509.77,0.0,1,2,6,6
DNR-01737,1,62.8,62.8,649.0,0,0,0,1
DNR-01738,8,36794.85,4599.36,43.0,0,1,2,8
DNR-01739,3,153.36,51.12,47.0,0,1,1,3
DNR-01740,2,451.35,225.68,19.0,1,1,1,2
DNR-01741,5,409.66,81.93,14.0,1,1,5,5
DNR-01742,6,311.87,51.98,7.0,1,1,1,5
DNR-01743,3,49582.05,16527.35,38.0,0,1,3,3
DNR-01744,4,320.43,80.11,105.0,0,0,2,4
DNR-01745,2,17027.21,8513.6,459.0,0,0,0,2
DNR-01746,7,858.69,122.67,33.0,0,1,3,7
DNR-01747,4,669.89,167.47,13.0,4,4,4,4
DNR-01748,1,2162.71,2162.71,18.0,1,1,1,1
DNR-01749,4,69.05,17.26,5.0,1,1,1,4
DNR-01750,8,1570.0,196.25,329.0,0,0,1,8
DNR-01751,7,93640.76,13377.25,5.0,3,7,7,7
DNR-01752,2,107.85,53.92,65.0,0,1,1,2
DNR-01753,2,105.38,52.69,276.0,0,0,2,2
DNR-01754,5,519.33,103.87,131.0,0,0,2,5
DNR-01755,1,46.11,46.11,114.0,0,0,1,1
DNR-01756,5,463.03,92.61,165.0,0,0,3,5
DNR-01757,2,378.58,189.29,1177.0,0,0,0,2
DNR-01758,7,2576.89,368.13,9.0,1,3,7,6
DNR-01759,8,1507.55,188.44,10.0,4,8,8,7
DNR-01760,4,1787.65,446.91,66.0,0,2,2,4
DNR-01761,2,547.6,273.8,120.0,0,0,2,2
DNR-01762,4,749.64,187.41,231.0,0,0,1,3
DNR-01763,6,2947.91,491.32,248.0,0,0,2,6
DNR-01764,5,272.65,54.53,267.0,0,0,3,5
DNR-01765,8,1468.33,183.54,71.0,0,1,3,8
DNR-01766,5,285.28,57.06,226.0,0,0,3,5
DNR-01767,3,155.92,51.97,55.0,0,1,1,3
DNR-01768,4,142940.59,35735.15,21.0,2,3,4,4
DNR-01769,5,606.89,121.38,67.0,0,1,5,5
DNR-01770,6,2610.22,435.04,52.0,0,1,2,6
DNR-01771,5,353.15,70.63,299.0,0,0,1,5
DNR-01772,4,239.91,59.98,428.0,0,0,0,4
DNR-01773,5,288.06,57.61,173.0,0,0,1,5
DNR-01774,5,587.16,117.43,247.0,0,0,2,5
DNR-01775,5,475.45,95.09,637.0,0,0,0,4
DNR-01776,5,2033.56,406.71,70.0,0,1,4,5
DNR-01777,3,1844.3,614.77,183.0,0,0,1,3
DNR-01778,7,82629.31,11804.19,176.0,0,0,5,7
DNR-01779,4,1069.18,267.3,241.0,0,0,3,4
DNR-01780,8,2838.03,354.75,59.0,0,1,3,8
DNR-01781,5,121542.85,24308.57,603.0,0,0,0,5
DNR-01782,11,6263.86,569.44,66.0,0,1,2,11
DNR-01783,2,1389.31,694.66,12.0,1,2,2,2
DNR-01784,3,2206.38,735.46,33.0,0,1,1,3
DNR-01785,7,3763.15,537.59,23.0,1,1,5,7
DNR-01786,8,1910.59,238.82,5.0,3,8,8,7
DNR-01787,8,3428.93,428.62,35.0,0,3,8,7
DNR-01788,4,230.36,57.59,307.0,0,0,1,4
DNR-01789,4,641.81,160.45,50.0,0,1,1,4
DNR-01790,6,620.45,103.41,5.0,4,5,6,6
DNR-01791,8,1351.65,168.96,0.0,2,5,8,8
DNR-01792,4,672.88,168.22,269.0,0,0,1,4
DNR-01793,3,590.13,196.71,35.0,0,1,3,3
DNR-01794,6,902.69,150.45,38.0,0,5,6,6
DNR-01795,5,604.37,120.87,122.0,0,0,4,5
DNR-01796,8,843.93,105.49,159.0,0,0,5,8
DNR-01797,4,66747.08,16686.77,266.0,0,0,2,4
DNR-01798,3,211.66,70.55,176.0,0,0,1,3
DNR-01799,2,401.89,200.94,6.0,1,1,1,2
DNR-01800,2,93.18,46.59,156.0,0,0,1,2
DNR-01801,5,257.21,51.44,306.0,0,0,1,5
DNR-01802,7,4680.17,668.6,186.0,0,0,6,7
DNR-01803,4,664.17,166.04,164.0,0,0,1,4
DNR-01804,5,1351.16,270.23,549.0,0,0,0,5
DNR-01805,4,1821.71,455.43,88.0,0,1,4,4
DNR-01806,7,690.72,98.67,241.0,0,0,2,7
DNR-01807,12,5948.69,495.72,10.0,4,8,12,12
DNR-01808,5,514.62,102.92,179.0,0,0,4,5
DNR-01809,4,1493.95,373.49,5.0,1,1,3,4
DNR-01810,5,464.47,92.89,341.0,0,0,2,5
DNR-01811,6,33276.28,5546.05,125.0,0,0,2,6
DNR-01812,6,1799.39,299.9,143.0,0,0,3,6
DNR-01813,4,1336.84,334.21,91.0,0,0,3,3
DNR-01814,9,3891.5,432.39,43.0,0,1,9,7
DNR-01815,2,182.84,91.42,237.0,0,0,1,2
DNR-01816,5,264.39,52.88,16.0,1,1,2,4
DNR-01817,3,1944.51,648.17,37.0,0,1,1,3
DNR-01818,4,270.22,67.56,217.0,0,0,2,4
DNR-01819,6,475.39,79.23,152.0,0,0,2,5
DNR-01820,6,27331.08,4555.18,306.0,0,0,1,6
DNR-01821,7,1095.63,156.52,3.0,2,2,2,7
DNR-01822,1,562.19,562.19,530.0,0,0,0,1
DNR-01823,6,2729.55,454.92,161.0,0,0,3,6
DNR-01824,3,2757.6,919.2,128.0,0,0,2,3
DNR-01825,4,213.13,53.28,65.0,0,1,4,3
DNR-01826,6,1018.51,169.75,192.0,0,0,2,6
DNR-01827,3,128.64,42.88,10.0,1,1,3,3
DNR-01828,4,2487.07,621.77,49.0,0,1,1,4
DNR-01829,3,269.3,89.77,474.0,0,0,0,3
DNR-01830,7,2322.39,331.77,240.0,0,0,2,6
DNR-01831,8,657.06,82.13,75.0,0,1,4,7
DNR-01832,7,1512.32,216.05,24.0,1,3,7,7
DNR-01833,5,521.46,104.29,23.0,1,2,5,5
DNR-01834,4,101405.17,25351.29,387.0,0,0,0,4
DNR-01835,4,19733.18,4933.3,90.0,0,1,3,4
DNR-01836,3,1121.45,373.82,208.0,0,0,3,3
