donor_id,age_group,location,donor_since,donor_type
DNR-01697,18-24,NC,2021-12-27,Individual
DNR-01698,25-34,GA,2021-08-26,Individual
DNR-01699,35-44,CO,2024-04-28,Individual
DNR-01700,25-34,CA,2024-10-18,Corporate
DNR-01701,25-34,OH,2022-10-30,Individual
DNR-01702,55-64,CA,2025-11-17,Individual
DNR-01703,18-24,OH,2023-08-23,Individual
DNR-01704,45-54,TX,2021-10-24,Individual
DNR-01705,35-44,FL,2023-03-05,Individual
DNR-01706,25-34,PA,2024-07-18,Individual
DNR-01707,45-54,IL,2021-09-18,Individual
DNR-01708,35-44,OH,2021-10-07,Individual
DNR-01709,25-34,IL,2021-12-17,Individual
DNR-01710,55-64,MI,2024-05-21,Individual
DNR-01711,45-54,FL,2021-12-15,Individual
DNR-01712,35-44,FL,2021-06-27,Individual
DNR-01713,35-44,NY,2024-04-26,Individual
DNR-01714,55-64,FL,2025-02-04,Individual
DNR-01715,25-34,MI,2022-11-02,Individual
DNR-01716,55-64,OH,2021-11-02,Corporate
DNR-01717,35-44,NC,2021-04-01,Individual
DNR-01718,35-44,CO,2021-03-10,Individual
DNR-01719,35-44,CA,2025-08-10,Individual
DNR-01720,45-54,OH,2024-02-18,Individual
DNR-01721,35-44,WA,2022-03-23,Individual
DNR-01722,45-54,TX,2021-07-05,Individual
DNR-01723,45-54,MI,2024-12-11,Individual
DNR-01724,35-44,TX,2021-02-19,Major Donor
DNR-01725,25-34,PA,2025-11-26,Individual
DNR-01726,45-54,WA,2024-07-07,Individual
DNR-01727,45-54,NC,2021-05-25,Individual
DNR-01728,55-64,CO,2021-03-08,Individual
DNR-01729,55-64,WA,2024-06-08,Individual
DNR-01730,35-44,NY,2021-06-15,Individual
DNR-01731,45-54,NY,2023-11-21,Foundation
DNR-01732,35-44,NY,2021-08-16,Individual
DNR-01733,45-54,CO,2023-01-19,Individual
DNR-01734,55-64,TX,2021-05-18,Individual
DNR-01735,25-34,GA,2022-11-17,Individual
DNR-01736,45-54,CO,2025-02-19,Foundation
DNR-01737,55-64,PA,2022-03-06,Individual
DNR-01738,35-44,OH,2022-12-24,Corporate
DNR-01739,35-44,GA,2022-07-22,Individual
DNR-01740,55-64,GA,2023-09-23,Individual
DNR-01741,55-64,IL,2024-12-24,Individual
DNR-01742,55-64,CO,2023-07-15,Individual
DNR-01743,55-64,FL,2025-07-15,Major Donor
DNR-01744,35-44,TX,2023-07-27,Individual
DNR-01745,18-24,TX,2022-08-14,Foundation
DNR-01746,25-34,TX,2022-07-20,Individual
DNR-01747,65+,NY,2025-11-27,Individual
DNR-01748,45-54,TX,2022-08-24,Individual
DNR-01749,35-44,WA,2023-08-29,Individual
DNR-01750,18-24,FL,2021-02-13,Individual
DNR-01751,45-54,OH,2025-09-06,Foundation
DNR-01752,45-54,PA,2024-03-31,Individual
DNR-01753,45-54,NC,2023-09-23,Individual
DNR-01754,45-54,IL,2023-07-01,Individual
DNR-01755,25-34,PA,2021-12-18,Individual
DNR-01756,18-24,PA,2022-08-14,Individual
DNR-01757,25-34,TX,2022-08-06,Individual
DNR-01758,25-34,TX,2024-12-28,Individual
DNR-01759,65+,TX,2025-09-15,Individual
DNR-01760,18-24,PA,2021-11-27,Individual
DNR-01761,25-34,TX,2024-03-22,Individual
DNR-01762,18-24,PA,2022-02-25,Individual
DNR-01763,35-44,TX,2022-12-06,Individual
DNR-01764,65+,OH,2023-12-29,Individual
DNR-01765,65+,PA,2023-10-20,Individual
DNR-01766,45-54,NC,2021-11-16,Individual
DNR-01767,35-44,IL,2022-11-10,Individual
DNR-01768,45-54,TX,2025-03-25,Major Donor
DNR-01769,65+,GA,2025-06-26,Individual
DNR-01770,45-54,NY,2022-11-25,Individual
DNR-01771,25-34,NY,2021-10-13,Individual
DNR-01772,25-34,PA,2023-04-03,Individual
DNR-01773,45-54,FL,2021-07-09,Individual
DNR-01774,55-64,IL,2024-04-09,Individual
DNR-01775,45-54,GA,2022-02-05,Individual
DNR-01776,25-34,NC,2024-10-18,Individual
DNR-01777,35-44,MI,2023-03-19,Individual
DNR-01778,65+,PA,2023-11-14,Foundation
DNR-01779,55-64,PA,2023-03-26,Individual
DNR-01780,35-44,PA,2023-03-02,Individual
DNR-01781,55-64,CA,2022-09-23,Major Donor
DNR-01782,35-44,OH,2022-03-18,Individual
DNR-01783,25-34,CO,2025-07-04,Individual
DNR-01784,35-44,MI,2023-05-19,Individual
DNR-01785,25-34,GA,2024-05-09,Individual
DNR-01786,35-44,MI,2025-11-12,Individual
DNR-01787,18-24,WA,2025-03-29,Individual
DNR-01788,45-54,CO,2022-07-14,Individual
DNR-01789,25-34,TX,2024-03-09,Individual
DNR-01790,45-54,NY,2025-09-01,Individual
DNR-01791,55-64,IL,2025-08-13,Individual
DNR-01792,35-44,NY,2023-10-09,Individual
DNR-01793,25-34,WA,2025-06-09,Individual
DNR-01794,25-34,WA,2025-09-05,Individual
DNR-01795,35-44,CO,2022-08-13,Individual
DNR-01796,25-34,IL,2024-08-13,Individual
DNR-01797,18-24,CO,2023-10-07,Major Donor
DNR-01798,45-54,IL,2023-01-11,Individual
DNR-01799,65+,CA,2024-07-10,Individual
DNR-01800,45-54,IL,2023-02-04,Individual
DNR-01801,25-34,GA,2021-11-30,Individual
DNR-01802,25-34,IL,2024-11-20,Individual
DNR-01803,65+,PA,2023-01-10,Individual
DNR-01804,35-44,CA,2021-04-10,Individual
DNR-01805,45-54,CA,2023-11-19,Individual
DNR-01806,45-54,PA,2024-05-11,Individual
DNR-01807,55-64,IL,2025-08-21,Individual
DNR-01808,35-44,NC,2024-11-04,Individual
DNR-01809,25-34,TX,2024-04-02,Individual
DNR-01810,55-64,OH,2023-11-28,Individual
DNR-01811,25-34,FL,2022-11-28,Corporate
DNR-01812,55-64,NC,2021-11-13,Individual
DNR-01813,65+,NC,2024-06-10,Individual
DNR-01814,55-64,CA,2024-12-30,Individual
DNR-01815,18-24,TX,2023-05-05,Individual
DNR-01816,35-44,PA,2021-02-05,Individual
DNR-01817,55-64,MI,2021-10-12,Individual
DNR-01818,35-44,CO,2023-12-08,Individual
DNR-01819,55-64,FL,2022-09-16,Individual
DNR-01820,25-34,FL,2021-09-21,Corporate
DNR-01821,25-34,CA,2022-09-22,Individual
DNR-01822,55-64,CA,2023-05-21,Individual
DNR-01823,55-64,NY,2021-02-08,Individual
DNR-01824,55-64,NC,2022-02-07,Individual
DNR-01825,25-34,IL,2024-04-29,Individual
DNR-01826,45-54,CA,2021-03-30,Individual
DNR-01827,45-54,MI,2025-05-22,Individual
DNR-01828,35-44,CA,2022-02-14,Individual
DNR-01829,65+,MI,2021-10-26,Individual
DNR-01830,55-64,CO,2022-12-14,Individual
DNR-01831,45-54,CA,2024-06-09,Individual
DNR-01832,18-24,FL,2025-08-06,Individual
DNR-01833,35-44,NC,2025-01-05,Individual
DNR-01834,25-34,FL,2021-01-09,Major Donor
DNR-01835,35-44,CO,2023-10-30,Corporate
DNR-01836,45-54,CA,2024-04-22,Individual
DNR-01837,65+,OH,2022-01-06,Individual
DNR-01838,35-44,PA,2022-03-15,Individual
DNR-01839,35-44,GA,2021-09-11,Individual
DNR-01840,35-44,CO,2025-04-11,Individual
DNR-01841,35-44,OH,2021-03-25,Individual
DNR-01842,45-54,WA,2022-08-04,Individual
DNR-01843,45-54,IL,2025-09-19,Individual
DNR-01844,55-64,GA,2025-10-18,Individual
DNR-01845,18-24,WA,2024-10-22,Individual
DNR-01846,35-44,NC,2023-10-04,Individual
DNR-01847,25-34,OH,2024-09-10,Individual
DNR-01848,65+,CO,2023-04-01,Individual
DNR-01849,65+,PA,2021-12-12,Individual
DNR-01850,65+,CA,2022-02-15,Individual
DNR-01851,45-54,IL,2022-04-22,Individual
DNR-01852,45-54,IL,2025-04-16,Individual
DNR-01853,45-54,OH,2025-03-29,Individual
DNR-01854,45-54,OH,2022-12-31,Individual
DNR-01855,25-34,GA,2023-09-20,Individual
DNR-01856,35-44,FL,2021-08-10,Individual
DNR-01857,18-24,CO,2024-07-10,Foundation
DNR-01858,35-44,NY,2021-04-19,Individual
DNR-01859,45-54,TX,2022-01-02,Individual
DNR-01860,25-34,CA,2022-09-13,Individual
DNR-01861,55-64,GA,2024-09-15,Individual
DNR-01862,35-44,NC,2022-02-18,Individual
DNR-01863,55-64,NC,2022-06-20,Individual
DNR-01864,55-64,OH,2024-01-25,Individual
DNR-01865,35-44,OH,2021-09-01,Individual
DNR-01866,18-24,NC,2023-06-26,Individual
DNR-01867,35-44,CO,2024-09-12,Corporate
DNR-01868,25-34,CO,2021-12-03,Individual
DNR-01869,25-34,WA,2023-03-08,Individual
DNR-01870,45-54,MI,2023-10-02,Individual
DNR-01871,55-64,NC,2023-08-21,Individual
DNR-01872,35-44,OH,2021-04-25,Individual
DNR-01873,55-64,IL,2024-06-17,Individual
DNR-01874,45-54,TX,2022-10-19,Individual
DNR-01875,55-64,MI,2025-09-11,Individual
DNR-01876,45-54,OH,2021-02-25,Individual
DNR-01877,65+,OH,2021-07-19,Individual
DNR-01878,25-34,FL,2022-12-21,Individual
DNR-01879,25-34,CO,2024-08-20,Individual
DNR-01880,25-34,TX,2021-05-15,Corporate
DNR-01881,18-24,WA,2021-02-10,Individual
DNR-01882,35-44,OH,2025-11-04,Individual
DNR-01883,35-44,NY,2022-07-01,Individual
DNR-01884,35-44,MI,2022-10-11,Individual
DNR-01885,25-34,WA,2021-07-20,Individual
DNR-01886,35-44,WA,2022-02-26,Individual
DNR-01887,35-44,OH,2022-11-27,Individual
DNR-01888,55-64,CA,2022-02-18,Individual
DNR-01889,25-34,IL,2025-09-18,Corporate
DNR-01890,45-54,FL,2021-04-08,Individual
DNR-01891,25-34,MI,2024-07-03,Individual
DNR-01892,25-34,MI,2021-07-14,Individual
DNR-01893,35-44,PA,2025-06-29,Individual
DNR-01894,55-64,NC,2025-06-18,Individual
DNR-01895,45-54,PA,2025-07-05,Individual
DNR-01896,25-34,NC,2022-02-14,Individual
DNR-01897,45-54,NY,2023-07-18,Individual
DNR-01898,55-64,MI,2024-07-09,Individual
DNR-01899,65+,CO,2023-10-20,Individual
DNR-01900,45-54,MI,2023-08-16,Individual
DNR-01901,35-44,MI,2025-10-13,Individual
DNR-01902,35-44,PA,2025-01-28,Individual
DNR-01903,25-34,WA,2023-08-06,Individual
DNR-01904,35-44,PA,2025-04-17,Individual
DNR-01905,18-24,FL,2025-10-28,Individual
DNR-01906,55-64,WA,2025-09-29,Individual
DNR-01907,45-54,OH,2021-11-25,Individual
DNR-01908,25-34,FL,2022-05-04,Individual
DNR-01909,35-44,NC,2025-06-21,Individual
DNR-01910,65+,FL,2023-06-13,Individual
DNR-01911,18-24,IL,2021-11-23,Individual
DNR-01912,45-54,NY,2024-09-10,Individual
DNR-01913,18-24,CA,2025-01-19,Individual
DNR-01914,55-64,OH,2022-10-05,Individual
DNR-01915,55-64,OH,2023-01-15,Individual
DNR-01916,25-34,CA,2025-09-16,Individual
DNR-01917,65+,NC,2024-03-15,Individual
DNR-01918,65+,NC,2024-09-22,Individual
DNR-01919,25-34,MI,2022-05-31,Individual
DNR-01920,35-44,MI,2021-09-08,Individual
DNR-01921,45-54,FL,2025-02-18,Individual
DNR-01922,25-34,FL,2023-05-17,Individual
DNR-01923,25-34,MI,2022-07-17,Individual
DNR-01924,35-44,CA,2021-04-25,Individual
DNR-01925,35-44,FL,2022-10-11,Individual
DNR-01926,65+,PA,2022-07-23,Corporate
DNR-01927,55-64,NY,2023-09-01,Individual
DNR-01928,45-54,CO,2024-08-14,Foundation
DNR-01929,18-24,WA,2024-09-18,Individual
DNR-01930,35-44,WA,2022-05-06,Individual
DNR-01931,55-64,CA,2024-12-05,Individual
DNR-01932,55-64,OH,2024-01-01,Corporate
DNR-01933,35-44,IL,2021-01-17,Corporate
DNR-01934,55-64,FL,2022-09-09,Individual
DNR-01935,55-64,GA,2022-09-02,Individual
DNR-01936,55-64,WA,2024-07-17,Individual
DNR-01937,25-34,CA,2023-04-13,Individual
DNR-01938,35-44,CO,2025-08-13,Individual
DNR-01939,35-44,OH,2023-04-26,Corporate
DNR-01940,25-34,TX,2025-12-01,Corporate
DNR-01941,18-24,OH,2024-12-01,Individual
DNR-01942,45-54,PA,2024-05-18,Individual
DNR-01943,55-64,WA,2023-07-18,Individual
DNR-01944,35-44,WA,2024-08-06,Individual
DNR-01945,25-34,IL,2021-10-06,Individual
DNR-01946,25-34,FL,2022-10-05,Individual
DNR-01947,55-64,WA,2023-11-24,Individual
DNR-01948,45-54,OH,2025-04-12,Individual
DNR-01949,35-44,CO,2025-06-12,Foundation
DNR-01950,45-54,PA,2021-10-01,Individual
DNR-01951,25-34,PA,2025-06-26,Individual
DNR-01952,35-44,MI,2022-01-08,Individual
DNR-01953,18-24,NC,2022-04-05,Individual
DNR-01954,25-34,CA,2024-08-18,Individual
DNR-01955,45-54,TX,2023-08-06,Individual
DNR-01956,35-44,IL,2021-04-12,Individual
DNR-01957,35-44,MI,2021-11-02,Individual
DNR-01958,35-44,GA,2021-08-29,Individual
DNR-01959,25-34,CO,2025-08-22,Individual
DNR-01960,55-64,IL,2022-02-21,Individual
DNR-01961,35-44,OH,2022-08-13,Individual
DNR-01962,25-34,IL,2025-10-20,Individual
DNR-01963,35-44,OH,2025-01-28,Individual
DNR-01964,35-44,IL,2025-06-11,Individual
DNR-01965,65+,PA,2022-04-28,Individual
DNR-01966,35-44,NY,2024-04-08,Individual
DNR-01967,35-44,CO,2023-08-19,Individual
DNR-01968,45-54,CO,2023-03-26,Individual
DNR-01969,25-34,CA,2023-05-17,Individual
DNR-01970,35-44,FL,2024-02-15,Individual
DNR-01971,65+,WA,2023-08-23,Corporate
DNR-01972,45-54,NY,2025-07-02,Individual
DNR-01973,45-54,IL,2021-01-11,Individual
DNR-01974,25-34,NC,2023-03-20,Individual
DNR-01975,25-34,NC,2021-03-26,Individual
DNR-01976,55-64,TX,2023-10-07,Foundation
DNR-01977,45-54,TX,2021-07-03,Individual
DNR-01978,18-24,TX,2022-06-18,Individual
DNR-01979,55-64,CO,2023-10-20,Corporate
DNR-01980,35-44,IL,2023-01-09,Corporate
DNR-01981,65+,NC,2024-06-09,Individual
DNR-01982,25-34,CO,2022-10-04,Individual
DNR-01983,25-34,WA,2023-10-04,Individual
DNR-01984,18-24,TX,2024-07-27,Individual
DNR-01985,18-24,IL,2021-04-22,Individual
DNR-01986,35-44,GA,2021-12-01,Individual
DNR-01987,65+,NC,2021-03-25,Individual
DNR-01988,25-34,CO,2023-09-21,Individual
DNR-01989,35-44,FL,2025-11-11,Individual
DNR-01990,55-64,CO,2025-11-14,Individual
DNR-01991,45-54,WA,2023-11-08,Individual
DNR-01992,65+,NY,2024-04-14,Individual
DNR-01993,25-34,CA,2023-12-14,Individual
DNR-01994,45-54,PA,2022-05-20,Individual
DNR-01995,65+,CA,2021-02-23,Individual
DNR-01996,65+,CA,2023-03-19,Individual
DNR-01997,18-24,GA,2025-09-11,Individual
DNR-01998,35-44,WA,2025-08-29,Individual
DNR-01999,18-24,NY,2022-07-06,Individual
DNR-02000,35-44,CO,2024-09-05,Individual
DNR-02001,55-64,TX,2025-02-12,Corporate
DNR-02002,55-64,IL,2022-03-09,Corporate
DNR-02003,45-54,NC,2022-10-24,Individual
DNR-02004,35-44,TX,2024-05-18,Individual
DNR-02005,55-64,CA,2022-05-07,Foundation
DNR-02006,25-34,OH,2021-02-12,Corporate
DNR-02007,65+,TX,2022-08-07,Individual
DNR-02008,55-64,CO,2021-09-04,Individual
DNR-02009,65+,MI,2025-07-10,Corporate
DNR-02010,25-34,PA,2021-09-26,Individual
DNR-02011,35-44,OH,2023-11-16,Individual
DNR-02012,45-54,CA,2023-09-03,Individual
DNR-02013,35-44,TX,2025-03-30,Individual
DNR-02014,25-34,NC,2023-06-09,Individual
DNR-02015,45-54,WA,2022-12-01,Major Donor
DNR-02016,65+,NC,2024-11-06,Individual
DNR-02017,25-34,GA,2024-07-13,Individual
DNR-02018,55-64,IL,2023-06-15,Individual
DNR-02019,45-54,IL,2021-11-01,Major Donor
DNR-02020,35-44,MI,2025-09-20,Individual
DNR-02021,65+,NC,2021-04-08,Individual
DNR-02022,35-44,GA,2021-08-09,Individual
DNR-02023,55-64,PA,2024-09-15,Individual
DNR-02024,55-64,NY,2022-06-06,Individual
DNR-02025,35-44,TX,2021-08-22,Individual
DNR-02026,25-34,CO,2025-09-23,Individual
DNR-02027,45-54,WA,2022-09-02,Individual
DNR-02028,25-34,TX,2023-07-11,Individual
DNR-02029,45-54,MI,2022-03-09,Individual
DNR-02030,25-34,NC,2022-06-16,Corporate
DNR-02031,25-34,TX,2021-02-06,Individual
DNR-02032,45-54,WA,2024-09-05,Individual
DNR-02033,35-44,MI,2025-03-05,Individual
DNR-02034,35-44,WA,2025-07-24,Major Donor
DNR-02035,55-64,CA,2024-11-14,Individual
DNR-02036,25-34,NY,2021-09-14,Individual
DNR-02037,55-64,FL,2024-11-26,Major Donor
DNR-02038,45-54,OH,2023-09-13,Individual
DNR-02039,55-64,FL,2025-09-21,Individual
DNR-02040,35-44,GA,2021-06-26,Individual
DNR-02041,25-34,TX,2023-05-15,Individual
DNR-02042,65+,GA,2025-02-22,Individual
DNR-02043,45-54,FL,2021-02-10,Corporate
DNR-02044,55-64,NY,2022-08-27,Individual
DNR-02045,45-54,CO,2022-11-15,Individual
DNR-02046,55-64,CO,2023-06-04,Major Donor
DNR-02047,45-54,IL,2024-03-31,Individual
DNR-02048,35-44,MI,2021-03-17,Individual
DNR-02049,45-54,GA,2025-01-24,Individual
DNR-02050,35-44,OH,2022-04-20,Individual
DNR-02051,18-24,WA,2024-03-26,Individual
DNR-02052,25-34,MI,2023-05-05,Corporate
DNR-02053,45-54,NY,2024-08-16,Individual
DNR-02054,25-34,PA,2021-11-27,Individual
DNR-02055,25-34,WA,2023-06-17,Individual
DNR-02056,55-64,CO,2022-11-26,Corporate
DNR-02057,55-64,CO,2024-09-07,Individual
DNR-02058,35-44,WA,2024-12-27,Individual
DNR-02059,55-64,TX,2024-08-29,Individual
DNR-02060,45-54,CA,2024-06-27,Individual
DNR-02061,25-34,TX,2024-09-28,Individual
DNR-02062,55-64,GA,2024-05-25,Individual
DNR-02063,45-54,NY,2022-09-14,Individual
DNR-02064,35-44,TX,2023-01-05,Corporate
DNR-02065,55-64,NY,2021-12-24,Individual
DNR-02066,35-44,MI,2025-07-11,Individual
DNR-02067,25-34,IL,2022-04-10,Individual
DNR-02068,55-64,NC,2022-11-28,Individual
DNR-02069,55-64,NC,2022-07-02,Corporate
DNR-02070,45-54,GA,2024-05-22,Individual
DNR-02071,55-64,CA,2025-06-25,Individual
DNR-02072,45-54,CA,2021-08-05,Individual
DNR-02073,35-44,TX,2025-08-14,Individual
DNR-02074,25-34,PA,2024-07-14,Individual
DNR-02075,45-54,NC,2021-11-18,Individual
DNR-02076,25-34,WA,2023-10-18,Individual
DNR-02077,25-34,FL,2023-01-15,Individual
DNR-02078,55-64,NY,2023-06-19,Foundation
DNR-02079,35-44,IL,2022-05-18,Individual
DNR-02080,25-34,CO,2023-11-01,Individual
DNR-02081,45-54,FL,2025-03-26,Individual
DNR-02082,35-44,FL,2021-11-07,Individual
DNR-02083,35-44,OH,2021-10-10,Individual
DNR-02084,35-44,WA,2023-07-29,Foundation
DNR-02085,35-44,NY,2023-01-11,Foundation
DNR-02086,65+,CA,2025-01-09,Individual
DNR-02087,65+,TX,2022-11-24,Individual
DNR-02088,55-64,WA,2023-06-08,Individual
DNR-02089,45-54,WA,2024-08-06,Individual
DNR-02090,55-64,IL,2024-12-31,Individual
DNR-02091,45-54,NC,2023-05-09,Individual
DNR-02092,45-54,PA,2025-11-25,Individual
DNR-02093,65+,MI,2021-01-17,Individual
DNR-02094,35-44,FL,2021-10-28,Individual
DNR-02095,45-54,GA,2024-01-20,Individual
DNR-02096,55-64,WA,2024-11-29,Individual
DNR-02097,55-64,CA,2023-04-09,Individual
DNR-02098,35-44,CO,2021-03-17,Individual
DNR-02099,35-44,NC,2025-02-24,Corporate
DNR-02100,35-44,IL,2022-08-05,Individual
DNR-02101,45-54,NY,2023-12-04,Individual
DNR-02102,45-54,IL,2021-02-27,Corporate
DNR-02103,35-44,OH,2022-05-10,Individual
DNR-02104,18-24,PA,2023-11-01,Individual
DNR-02105,35-44,NY,2022-06-16,Individual
DNR-02106,25-34,IL,2025-03-30,Individual
DNR-02107,35-44,FL,2024-03-18,Individual
DNR-02108,45-54,CO,2025-07-08,Individual
DNR-02109,55-64,FL,2024-07-09,Individual
DNR-02110,45-54,CO,2022-12-19,Individual
DNR-02111,45-54,NC,2024-03-19,Individual
DNR-02112,35-44,MI,2025-02-19,Individual
DNR-02113,35-44,CA,2022-01-30,Individual
DNR-02114,55-64,CA,2021-10-28,Individual
DNR-02115,55-64,GA,2021-07-08,Individual
DNR-02116,35-44,NC,2022-03-16,Individual
DNR-02117,35-44,OH,2023-04-05,Individual
DNR-02118,35-44,OH,2025-11-21,Individual
DNR-02119,65+,CO,2023-06-21,Individual
DNR-02120,25-34,TX,2023-05-04,Individual
DNR-02121,25-34,CO,2023-09-20,Individual
DNR-02122,25-34,FL,2023-11-18,Corporate
DNR-02123,45-54,NC,2023-07-22,Individual
DNR-02124,25-34,OH,2023-01-27,Corporate
DNR-02125,45-54,NY,2021-08-14,Individual
DNR-02126,35-44,PA,2023-12-07,Individual
DNR-02127,18-24,TX,2022-09-14,Individual
DNR-02128,35-44,IL,2021-10-19,Individual
DNR-02129,55-64,GA,2022-08-04,Individual
DNR-02130,35-44,NY,2021-01-05,Individual
DNR-02131,35-44,GA,2023-05-06,Individual
DNR-02132,35-44,CO,2022-11-23,Individual
DNR-02133,55-64,NC,2025-09-04,Individual
DNR-02134,35-44,GA,2024-07-27,Individual
DNR-02135,35-44,MI,2021-11-02,Corporate
DNR-02136,35-44,OH,2024-09-22,Individual
DNR-02137,65+,GA,2022-11-26,Individual
DNR-02138,25-34,TX,2025-02-16,Individual
DNR-02139,45-54,CO,2024-12-19,Individual
DNR-02140,25-34,NC,2022-09-25,Individual
DNR-02141,45-54,MI,2021-06-24,Individual
DNR-02142,45-54,FL,2025-04-01,Individual
DNR-02143,55-64,CA,2025-03-18,Individual
DNR-02144,25-34,NY,2024-09-10,Foundation
DNR-02145,25-34,CO,2022-07-18,Individual
DNR-02146,35-44,NC,2025-09-15,Corporate
DNR-02147,45-54,GA,2024-05-27,Individual
DNR-02148,35-44,TX,2025-11-01,Foundation
DNR-02149,35-44,OH,2023-04-30,Individual
DNR-02150,65+,NC,2022-06-11,Individual
DNR-02151,25-34,CA,2021-12-11,Individual
DNR-02152,35-44,TX,2021-11-12,Individual
DNR-02153,35-44,NY,2021-05-01,Individual
DNR-02154,35-44,PA,2024-12-31,Individual
DNR-02155,35-44,OH,2021-10-19,Individual
DNR-02156,18-24,FL,2025-08-23,Corporate
DNR-02157,25-34,NC,2025-03-21,Individual
DNR-02158,65+,IL,2025-03-21,Individual
DNR-02159,45-54,CA,2021-05-05,Individual
DNR-02160,45-54,NY,2023-09-19,Individual
DNR-02161,45-54,CA,2022-07-06,Individual
DNR-02162,45-54,TX,2022-05-20,Individual
DNR-02163,35-44,WA,2022-09-16,Individual
DNR-02164,65+,PA,2023-10-22,Individual
DNR-02165,55-64,NC,2024-01-12,Major Donor
DNR-02166,45-54,NY,2023-05-18,Foundation
DNR-02167,65+,MI,2021-01-03,Individual
DNR-02168,25-34,NY,2022-08-16,Individual
DNR-02169,25-34,WA,2023-09-15,Individual
DNR-02170,55-64,FL,2023-02-18,Major Donor
DNR-02171,35-44,TX,2024-04-13,Individual
DNR-02172,18-24,CA,2025-02-22,Individual
DNR-02173,55-64,CO,2023-03-21,Individual
DNR-02174,55-64,FL,2024-02-14,Major Donor
DNR-02175,55-64,WA,2024-06-04,Individual
DNR-02176,65+,CO,2022-12-03,Individual
DNR-02177,45-54,PA,2023-07-17,Individual
DNR-02178,65+,PA,2022-12-01,Individual
DNR-02179,25-34,NY,2021-02-02,Corporate
DNR-02180,65+,WA,2024-05-31,Individual
DNR-02181,55-64,CO,2021-12-22,Individual
DNR-02182,45-54,WA,2023-09-29,Individual
DNR-02183,18-24,WA,2024-08-26,Individual
DNR-02184,35-44,OH,2023-07-01,Individual
DNR-02185,35-44,CO,2025-08-22,Individual
DNR-02186,35-44,FL,2021-01-18,Individual
DNR-02187,45-54,IL,2023-06-30,Individual
DNR-02188,35-44,CA,2024-10-25,Corporate
DNR-02189,35-44,CO,2025-07-30,Individual
DNR-02190,35-44,PA,2022-03-29,Individual
DNR-02191,65+,CO,2021-03-17,Individual
DNR-02192,25-34,WA,2024-05-26,Individual
DNR-02193,25-34,NC,2023-03-23,Individual
DNR-02194,25-34,CO,2023-10-09,Individual
DNR-02195,45-54,TX,2024-03-04,Individual
DNR-02196,45-54,TX,2021-05-14,Individual
DNR-02197,55-64,NC,2022-06-16,Foundation
DNR-02198,25-34,WA,2025-02-01,Individual
DNR-02199,45-54,NC,2021-02-17,Major Donor
DNR-02200,45-54,GA,2024-06-12,Individual
DNR-02201,45-54,WA,2021-01-05,Foundation
DNR-02202,35-44,OH,2021-04-17,Corporate
DNR-02203,35-44,GA,2022-07-16,Individual
DNR-02204,18-24,CO,2023-01-11,Individual
DNR-02205,65+,NC,2022-04-05,Individual
DNR-02206,35-44,PA,2023-07-09,Individual
DNR-02207,55-64,CO,2021-06-17,Corporate
DNR-02208,35-44,CA,2022-04-08,Major Donor
DNR-02209,35-44,CA,2022-05-27,Individual
DNR-02210,18-24,OH,2024-07-06,Individual
DNR-02211,55-64,PA,2025-07-13,Individual
DNR-02212,25-34,FL,2025-09-18,Individual
DNR-02213,55-64,NC,2022-11-29,Individual
DNR-02214,18-24,MI,2025-06-15,Individual
DNR-02215,25-34,GA,2024-06-22,Individual
DNR-02216,65+,NY,2024-03-31,Individual
DNR-02217,55-64,CA,2023-02-12,Individual
DNR-02218,65+,GA,2025-05-22,Individual
DNR-02219,45-54,CA,2021-04-23,Individual
DNR-02220,45-54,IL,2021-07-28,Individual
DNR-02221,25-34,OH,2025-10-07,Individual
DNR-02222,55-64,MI,2022-04-23,Corporate
DNR-02223,35-44,OH,2021-01-22,Individual
DNR-02224,35-44,WA,2024-06-24,Individual
DNR-02225,35-44,MI,2025-05-23,Individual
DNR-02226,18-24,CO,2022-01-30,Individual
DNR-02227,55-64,MI,2021-05-19,Individual
DNR-02228,25-34,OH,2021-09-16,Individual
DNR-02229,35-44,FL,2023-09-13,Individual
DNR-02230,18-24,IL,2021-10-09,Individual
DNR-02231,65+,PA,2024-04-12,Individual
DNR-02232,45-54,TX,2022-09-30,Individual
DNR-02233,45-54,IL,2021-10-29,Individual
DNR-02234,35-44,WA,2023-01-26,Major Donor
DNR-02235,25-34,NC,2024-10-21,Individual
DNR-02236,35-44,FL,2025-10-25,Individual
DNR-02237,55-64,PA,2024-08-04,Corporate
DNR-02238,45-54,GA,2022-01-23,Individual
DNR-02239,55-64,MI,2024-05-13,Individual
DNR-02240,35-44,TX,2022-11-19,Individual
DNR-02241,55-64,NY,2021-08-03,Individual
DNR-02242,18-24,FL,2023-10-13,Individual
DNR-02243,45-54,FL,2024-11-20,Individual
DNR-02244,65+,PA,2023-09-12,Individual
DNR-02245,25-34,TX,2025-07-12,Individual
DNR-02246,35-44,CA,2025-08-19,Major Donor
DNR-02247,25-34,IL,2023-01-03,Individual
DNR-02248,45-54,PA,2023-06-21,Individual
DNR-02249,25-34,IL,2021-03-31,Major Donor
DNR-02250,25-34,TX,2021-12-23,Individual
DNR-02251,25-34,FL,2022-11-27,Individual
DNR-02252,25-34,CA,2021-02-14,Individual
DNR-02253,25-34,WA,2021-02-12,Individual
